amfi_code,scheme_name,VaR_95_Pct,CVaR_Pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.288,-1.677
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.334,-0.458
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-1.69,-2.185
101206,ABSL Frontline Equity Fund - Regular - Growth,-1.217,-1.608
101207,ABSL Small Cap Fund - Regular - Growth,-2.391,-3.029
101208,ABSL Liquid Fund - Regular - Growth,-0.022,-0.037
102885,UTI Nifty 50 Index Fund - Regular - Growth,-1.105,-1.438
102886,UTI Mid Cap Fund - Regular - Growth,-1.686,-2.177
102887,UTI Flexi Cap Fund - Regular - Growth,-1.374,-1.796
118632,Nippon India Large Cap Fund - Regular - Growth,-1.233,-1.633
118633,Nippon India Large Cap Fund - Direct - Growth,-1.207,-1.554
118634,Nippon India Small Cap Fund - Regular - Growth,-2.281,-2.994
118635,Nippon India ETF Nifty 50 BeES,-1.103,-1.494
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.334,-0.454
119092,Axis Bluechip Fund - Regular - Growth,-1.269,-1.617
119093,Axis Bluechip Fund - Direct - Growth,-1.259,-1.633
119094,Axis Midcap Fund - Regular - Growth,-1.7,-2.237
119095,Axis Small Cap Fund - Regular - Growth,-2.328,-2.969
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.343,-0.462
119551,SBI Bluechip Fund - Regular Plan - Growth,-1.183,-1.523
119552,SBI Bluechip Fund - Direct Plan - Growth,-1.213,-1.608
119598,SBI Small Cap Fund - Regular Plan - Growth,-2.15,-2.844
119599,SBI Small Cap Fund - Direct Plan - Growth,-2.316,-3.016
120503,ICICI Pru Bluechip Fund - Regular - Growth,-1.213,-1.61
120504,ICICI Pru Bluechip Fund - Direct - Growth,-1.253,-1.623
120505,ICICI Pru Midcap Fund - Regular - Growth,-1.622,-2.236
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-1.301,-1.779
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.02,-0.033
120841,Kotak Bluechip Fund - Regular - Growth,-1.172,-1.525
120842,Kotak Emerging Equity Fund - Regular - Growth,-1.695,-2.125
120843,Kotak Flexicap Fund - Regular - Growth,-1.333,-1.711
120844,Kotak Liquid Fund - Regular - Growth,-0.02,-0.036
125497,HDFC Top 100 Fund - Direct Plan - Growth,-1.25,-1.696
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-1.676,-2.148
148567,Mirae Asset Large Cap Fund - Regular - Growth,-1.261,-1.634
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.331,-1.738
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-1.526,-1.985
149322,DSP Top 100 Equity Fund - Regular - Growth,-1.296,-1.7
149323,DSP Midcap Fund - Regular - Growth,-1.587,-2.09
149324,DSP Small Cap Fund - Regular - Growth,-2.152,-2.857
